Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Neg1_R1	93.62946569712298	37.0	249.54568447676257	250	63.63636363636363	6326.0
Neg1_R2	0.5216566550742954	42.0	248.6650331963326	250	36.36363636363637	6326.0
Neg2_R1	59.57284515636918	52.0	249.30511060259343	249	27.27272727272727	1311.0
Neg2_R2	28.680396643783368	53.0	249.05720823798626	249	27.27272727272727	1311.0
SRR5331678_R1	95.92033018339372	48.0	248.6651103723901	248	54.54545454545454	107092.0
SRR5331678_R2	76.63691032009861	49.0	247.24648900011206	247	45.45454545454545	107092.0
SRR5331679_R1	93.40101522842639	48.0	249.34964950447184	249	54.54545454545454	16548.0
SRR5331679_R2	71.31375392796713	49.0	247.385726371767	247	45.45454545454545	16548.0
SRR5331680_R1	93.49414965094556	49.0	249.18704729441842	249	36.36363636363637	30511.0
SRR5331680_R2	82.16053226705122	50.0	249.03300449018386	249	45.45454545454545	30511.0
SRR5331681_R1	93.60061461415889	49.0	249.1842704302299	249	36.36363636363637	35144.0
SRR5331681_R2	82.38390621443205	49.0	249.05406328249487	249	45.45454545454545	35144.0
SRR5331682_R1	92.58223258223258	50.0	249.22310282310283	249	36.36363636363637	38610.0
SRR5331682_R2	79.36285936285935	50.0	249.04172494172494	249	45.45454545454545	38610.0
SRR5331683_R1	94.73821210769002	49.0	248.65119738212107	248	45.45454545454545	53784.0
SRR5331683_R2	80.86233824185632	50.0	247.1908746095493	247	54.54545454545454	53784.0
SRR5331684_R1	95.12707042609685	47.0	248.10295865469718	247	45.45454545454545	79090.0
SRR5331684_R2	80.24149702870147	49.0	247.18591478062967	247	54.54545454545454	79090.0
SRR5331685_R1	95.41737816892159	49.0	248.6333574149481	248	45.45454545454545	60904.0
SRR5331685_R2	81.90759227636937	50.0	247.1112406410088	247	54.54545454545454	60904.0
SRR5331686_R1	96.00777113252829	52.0	249.10233895851587	249	45.45454545454545	52502.0
SRR5331686_R2	88.78328444630681	52.0	249.0221134432974	249	45.45454545454545	52502.0
SRR5331687_R1	95.70620880122978	42.0	248.928845001433	248	63.63636363636363	38381.0
SRR5331687_R2	35.88494307079023	46.0	248.0153461348063	247	45.45454545454545	38381.0
SRR5331688_R1	96.79571692251253	51.0	248.5431116512089	248	45.45454545454545	87227.0
SRR5331688_R2	86.78276221812054	52.0	247.04128308895181	247	54.54545454545454	87227.0
SRR5331689_R1	98.07142602981817	50.0	249.04043363262207	250	36.36363636363637	84311.0
SRR5331689_R2	92.45412816832916	51.0	247.16804450190367	247	54.54545454545454	84311.0
