	OTU	Sample	Abundance	names	host_species	gut_section	region	location	year	month	day	sample_lab	Time	SL..mm.	FL..mm.	TW..g.	GW..g.	Sex	Sample_or_Control	input	filtered	denoisedF	denoisedR	merged	nochim	perc_reads_retained	Kingdom	Phylum	Class	Order
1	ASV_4	568_4	0.618787624	568_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	South Island South	2014	12	12	S246	15:30	236	285	654.3	52.5	M	Sample	52502	25983	25713	25724	24787	24522	46.70679212	Bacteria	Pseudomonadota	GammaPseudomonadota	Pseudomonadales
17	ASV_1	568_4	0.270614588	568_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	South Island South	2014	12	12	S246	15:30	236	285	654.3	52.5	M	Sample	52502	25983	25713	25724	24787	24522	46.70679212	Bacteria	Bacteroidota	Bacteroidia	Cytophagales
65	ASV_14	568_4	0.028419432	568_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	South Island South	2014	12	12	S246	15:30	236	285	654.3	52.5	M	Sample	52502	25983	25713	25724	24787	24522	46.70679212	Bacteria	Pseudomonadota	GammaPseudomonadota	Enterobacterales
72	ASV_2	568_4	0.023799524	568_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	South Island South	2014	12	12	S246	15:30	236	285	654.3	52.5	M	Sample	52502	25983	25713	25724	24787	24522	46.70679212	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales
78	ASV_35	568_4	0.021839563	568_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	South Island South	2014	12	12	S246	15:30	236	285	654.3	52.5	M	Sample	52502	25983	25713	25724	24787	24522	46.70679212	Bacteria	Bacillota	Clostridia	Oscillospirales
79	ASV_9	568_4	0.021839563	568_4	Pomacanthus sexstriatus	IV	Great Barrier Reef	South Island South	2014	12	12	S246	15:30	236	285	654.3	52.5	M	Sample	52502	25983	25713	25724	24787	24522	46.70679212	Bacteria	Bacillota	Clostridia	Lachnospirales
12	ASV_4	568_5	0.311855306	568_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between Bird Islet and South Island	2014	12	12	S346	15:30	236	285	654.3	52.5	M	Sample	38610	18739	18165	18254	17389	17305	44.81999482	Bacteria	Pseudomonadota	GammaPseudomonadota	Pseudomonadales
18	ASV_16	568_5	0.268757948	568_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between Bird Islet and South Island	2014	12	12	S346	15:30	236	285	654.3	52.5	M	Sample	38610	18739	18165	18254	17389	17305	44.81999482	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales
40	ASV_35	568_5	0.055532005	568_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between Bird Islet and South Island	2014	12	12	S346	15:30	236	285	654.3	52.5	M	Sample	38610	18739	18165	18254	17389	17305	44.81999482	Bacteria	Bacillota	Clostridia	Oscillospirales
41	ASV_28	568_5	0.053553766	568_5	Pomacanthus sexstriatus	V	Great Barrier Reef	Between Bird Islet and South Island	2014	12	12	S346	15:30	236	285	654.3	52.5	M	Sample	38610	18739	18165	18254	17389	17305	44.81999482	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group
