"","568_4","568_5","581_5","611_5","E05_5","E1_4","E1_5","E2_4","E2_5","E3_4","E3_5"
"ASV_233",0,5,32,11,6,0,0,0,0,0,11
"ASV_619",0,0,0,0,3,0,4,0,1,0,3
"ASV_1418",0,2,0,0,0,0,0,0,0,0,0
"ASV_1415",0,2,0,0,0,0,0,0,0,0,0
"ASV_1751",0,0,0,0,0,0,0,0,0,0,1
"ASV_26",0,0,0,0,0,0,35,26,184,0,0
"ASV_239",0,0,0,0,0,0,0,9,24,0,0
"ASV_185",0,0,0,0,0,0,42,3,8,0,0
"ASV_1413",0,2,0,0,0,0,0,0,0,0,0
"ASV_62",0,31,7,96,22,0,9,0,11,5,8
"ASV_366",0,0,0,0,0,0,27,0,0,0,0
"ASV_617",0,0,0,0,8,0,0,0,0,0,0
"ASV_1043",0,7,0,0,0,0,0,0,0,0,0
"ASV_691",0,0,0,0,0,0,11,0,0,0,0
"ASV_626",0,0,0,0,8,0,0,0,0,0,0
"ASV_1075",0,0,7,0,0,0,0,0,0,0,0
"ASV_1095",0,0,7,0,0,0,0,0,0,0,0
"ASV_1275",0,0,0,0,0,0,0,0,0,0,3
"ASV_809",0,0,0,0,0,0,0,0,0,3,9
"ASV_731",0,0,0,11,2,0,1,0,0,0,0
"ASV_1524",0,0,0,0,1,0,0,0,0,0,0
"ASV_1082",0,0,0,0,2,0,0,0,0,0,2
"ASV_1213",0,0,0,0,0,0,0,0,2,0,0
"ASV_985",0,0,0,0,3,0,0,0,0,0,0
"ASV_1585",0,0,0,0,1,0,0,0,0,0,0
"ASV_1362",0,3,0,0,0,0,0,0,0,0,0
"ASV_116",0,25,0,19,10,0,34,0,6,0,0
"ASV_1215",0,0,0,0,0,0,0,0,0,0,4
"ASV_1434",0,0,1,0,0,0,0,1,0,0,0
"ASV_1343",0,0,0,0,0,0,0,1,0,0,0
"ASV_513",0,0,0,0,0,0,1,11,1,0,0
"ASV_158",0,0,0,0,2,0,4,36,4,0,0
"ASV_1127",0,0,6,0,0,0,0,0,0,0,0
"ASV_153",0,0,0,0,0,0,0,48,0,0,0
"ASV_554",0,0,0,0,0,0,0,11,0,0,0
"ASV_1609",0,0,0,0,0,0,0,0,1,0,0
"ASV_24",0,39,5,5,71,0,90,3,23,14,31
"ASV_291",1,9,0,0,0,2,3,9,7,0,3
"ASV_622",0,11,0,0,2,0,0,0,0,0,3
"ASV_500",0,0,0,0,1,0,0,2,9,0,2
"ASV_1155",0,0,0,0,0,0,0,0,0,0,4
"ASV_1544",0,0,0,0,0,0,0,0,0,5,0
"ASV_984",0,0,0,0,3,0,0,0,0,0,0
"ASV_1207",0,0,0,0,0,0,3,0,0,0,0
"ASV_144",0,22,0,25,0,0,0,4,18,0,16
"ASV_299",0,0,5,0,8,0,7,0,10,0,0
"ASV_942",0,0,0,0,3,0,0,0,0,0,0
"ASV_630",0,8,3,0,2,0,3,0,0,0,0
"ASV_1273",0,0,0,0,0,0,0,0,0,0,3
"ASV_2",168,44,29,12,3,3224,27,467,14,62,9
"ASV_207",0,0,0,0,0,32,0,0,0,0,0
"ASV_294",0,2,12,0,0,0,0,4,10,5,8
"ASV_215",0,7,7,11,6,0,4,4,8,0,5
"ASV_526",0,0,0,0,0,0,3,4,5,0,0
