,OTU,Sample,Abundance,names,host_species,gut_section,region,location,year,month,day,sample_lab,Time,SL..mm.,FL..mm.,TW..g.,GW..g.,Sex,Sample_or_Control,input,filtered,denoisedF,denoisedR,merged,nochim,perc_reads_retained,Kingdom,Phylum,Class,Order
1,ASV_4,568_4,0.618787624,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Pseudomonadota,GammaPseudomonadota,Pseudomonadales
17,ASV_1,568_4,0.270614588,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Bacteroidota,Bacteroidia,Cytophagales
65,ASV_14,568_4,0.028419432,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Pseudomonadota,GammaPseudomonadota,Enterobacterales
72,ASV_2,568_4,0.023799524,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales
78,ASV_35,568_4,0.021839563,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Bacillota,Clostridia,Oscillospirales
79,ASV_9,568_4,0.021839563,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Bacillota,Clostridia,Lachnospirales
5,ASV_2,E1_4,0.456494325,E1_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S140,09:40,NA,NA,NA,1262,M,Sample,84311,45242,45120,45137,44201,43946,52.12368493,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales
16,ASV_1,E1_4,0.273644388,E1_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S140,09:40,NA,NA,NA,1262,M,Sample,84311,45242,45120,45137,44201,43946,52.12368493,Bacteria,Bacteroidota,Bacteroidia,Cytophagales
25,ASV_11,E1_4,0.092335715,E1_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S140,09:40,NA,NA,NA,1262,M,Sample,84311,45242,45120,45137,44201,43946,52.12368493,Bacteria,Bacillota,Clostridia,Clostridiales
36,ASV_4,E1_4,0.063472047,E1_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S140,09:40,NA,NA,NA,1262,M,Sample,84311,45242,45120,45137,44201,43946,52.12368493,Bacteria,Pseudomonadota,GammaPseudomonadota,Pseudomonadales
